country,region,dataYear,month,FSWCount,surveyArea,popDensity,built,growingSeason,rain,temperature,nightlight,cleanWater,hivRate,protected,hivFear,highCrime,insectNet,ageFirstSex,wealthIndex
Mozambique,Mozambique1,2016,12,0,56,high,0.153323432,228.5480107,36.78054745,12.84138236,81.19638062,25.2239245,med,25.47864532,low,no,41.7452353,18.85633969,-1.667064548
Mozambique,Mozambique1,2016,12,0,56,high,0.194501569,210.0864496,38.1493504,12.69778651,79.16532898,23.51734565,med,25.23143005,med,no,45.919883,18.48322166,-1.704080701
Mozambique,Mozambique1,2016,12,2,56,high,0.123465811,224.5797068,35.73728964,11.41924169,82.25608063,24.86199978,med,25.14763069,low,no,42.41569479,18.80773453,-1.902871013
Mozambique,Mozambique1,2016,12,1,56,high,0.14126135,224.5797068,35.73728964,11.46915454,82.25608063,24.86199978,med,25.14763069,low,yes,41.96532314,18.31119657,-1.877290368
Mozambique,Mozambique1,2016,12,1,56,high,0.21329459,226.4030876,36.63717156,12.08807756,80.29302979,25.02862269,med,25.44116211,med,no,41.37024661,18.87830326,-1.786548376
Mozambique,Mozambique1,2016,12,5,56,high,0.093892559,228.5480107,36.78054745,12.4689539,81.19638062,25.2239245,med,25.47864532,low,no,41.22765038,19.36860288,-1.749080658
Mozambique,Mozambique1,2016,12,5,56,high,0.204264185,228.5480107,36.78054745,12.67782104,81.19638062,25.2239245,med,25.47864532,low,no,45.32434549,19.30353578,-1.730870962
Mozambique,Mozambique1,2016,12,0,56,high,0.194501569,210.0864496,38.1493504,12.70239355,79.16532898,23.51734565,med,25.23143005,med,no,48.88431358,19.47209516,-1.757612944
Mozambique,Mozambique1,2016,12,0,56,high,0.153323432,215.1634221,38.19910808,12.79991574,77.94328308,23.99255486,med,26.5597744,med,no,52.36131307,19.42366319,-1.77801609
Mozambique,Mozambique1,2016,12,0,56,high,0.223275549,215.1634221,38.19910808,13.11014591,77.94328308,23.99255486,med,26.5597744,med,no,52.26354464,19.61782471,-1.753580689
Mozambique,Mozambique1,2016,12,0,56,high,0.223275549,215.1634221,38.19910808,13.11014591,77.94328308,23.99255486,med,26.5597744,med,yes,52.17799363,19.61782471,-1.753580689
Mozambique,Mozambique1,2016,12,0,56,high,0.058774317,228.5480107,36.78054745,12.88822386,81.19638062,25.2239245,med,25.47864532,low,no,42.19370997,18.32943466,-1.612935543
Mozambique,Mozambique1,2016,12,0,56,high,0.332011379,207.8923645,37.29753711,13.23992065,76.95970917,23.31053827,med,27.08856392,med,no,56.56795133,19.61249626,-1.740128994
Mozambique,Mozambique1,2016,12,0,56,high,0.120906595,217.210123,36.50560613,11.15201382,79.77376556,24.18283597,med,24.68875122,med,no,45.41571256,18.33372333,-1.934758067
Mozambique,Mozambique1,2016,12,0,56,high,0.323085305,207.8923645,37.29753711,13.16620313,76.95970917,23.31053827,med,27.08856392,med,no,54.55344767,19.85591338,-1.777145147
Mozambique,Mozambique1,2017,12,0,56,high,0.11396013,246.41657,30.2038878,9.21077583,78.60285187,26.82245209,med,26.10622215,low,no,49.40129901,19.55488013,-1.774548411
Mozambique,Mozambique1,2017,12,0,56,high,0.051750669,253.6138994,21.99613565,8.080433891,82.56261444,27.45263223,med,24.00958061,low,no,44.35320926,18.67010573,-1.81880641
Mozambique,Mozambique1,2017,12,NA,56,high,0.051139917,242.1935136,31.6351002,7.317146358,80.15509796,26.44911627,med,24.07419205,low,no,45.94158169,19.35595335,-2.085838795
Mozambique,Mozambique1,2017,12,3,56,high,0.049457232,242.1935136,31.6351002,7.507584525,80.15509796,26.44911627,med,24.07419205,low,no,41.89146038,18.33372333,-1.934758067
Mozambique,Mozambique1,2017,12,NA,56,high,0.023656074,253.6138994,21.99613565,8.138792977,82.56261444,27.45263223,med,24.00958061,low,no,40.99676143,18.43491958,-1.778257966
Mozambique,Mozambique1,2017,12,0,56,high,0.051750669,242.1935136,31.6351002,7.507584525,80.15509796,26.44911627,med,24.07419205,low,no,43.24901811,18.33372333,-1.934758067
Mozambique,Mozambique1,2017,12,0,56,high,0.051139917,253.6138994,21.99613565,7.892300063,82.56261444,27.45263223,med,24.00958061,low,no,43.91325197,19.40317236,-1.912693501
Mozambique,Mozambique1,2017,12,0,56,high,0.150081748,246.41657,30.2038878,9.21077583,78.60285187,26.82245209,med,26.10622215,low,no,51.38581546,19.55488013,-1.774548411
Mozambique,Mozambique1,2017,12,0,56,high,0.083858777,246.41657,30.2038878,9.704531147,78.60285187,26.82245209,med,26.10622215,low,no,48.83891401,18.77117208,-1.674193501
Mozambique,Mozambique1,2018,1,0,56,high,0.240385803,259.7254556,40.74358041,11.27103716,83.03697968,27.98188832,med,25.70602798,med,no,41.20377253,18.87830326,-1.786548376
Mozambique,Mozambique1,2018,1,0,56,high,0.218157116,260.7576168,49.92037047,10.37874355,81.12416077,28.07075419,med,26.98485565,med,no,41.66619882,18.12283976,-1.911774158
Mozambique,Mozambique1,2018,1,0,56,high,0.348750678,257.7310922,45.62252032,12.02818115,82.00717926,27.80975824,med,26.50568008,med,no,41.7452353,18.85633969,-1.667064548
Mozambique,Mozambique1,2018,1,1,56,high,0.269483774,260.7576168,49.92037047,10.37874355,81.12416077,28.07075419,med,26.98485565,med,no,42.04047782,18.12283976,-1.911774158
Mozambique,Mozambique1,2018,1,0,56,high,0.348750678,257.7310922,45.62252032,11.89840806,82.00717926,27.80975824,med,26.50568008,med,no,47.72338165,19.30353578,-1.730870962
Mozambique,Mozambique1,2018,1,0,56,high,0.339720254,256.4010707,53.44822151,11.98671618,80.86671448,27.69465533,med,28.61473274,med,no,47.60674832,19.47209516,-1.757612944
Mozambique,Mozambique1,2018,1,0,56,high,0.321128245,255.8680189,60.7906657,12.29156983,80.43749237,27.64845359,med,30.84769249,med,no,52.36131307,19.42366319,-1.77801609
Mozambique,Mozambique1,2018,1,NA,56,high,0.399516182,257.7310922,45.62252032,11.89840806,82.00717926,27.80975824,med,26.50568008,med,no,47.38983209,19.30353578,-1.730870962
Mozambique,Mozambique1,2018,1,0,56,high,0.380241319,255.8680189,60.7906657,12.57569181,80.43749237,27.64845359,med,30.84769249,med,no,50.55532841,18.85950232,-1.685580611
